m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M943/92,Long-finned pilot whale,Pelagic Dolphins,12/01/1992,1,1992,57.37420654,-7.417626858,U,unknown
M1075/92,Long-finned pilot whale,Pelagic Dolphins,15/01/1992,1,1992,59.26157761,-2.892704725,U,unknown
M130/92,White-beaked dolphin,Pelagic Dolphins,19/01/1992,1,1992,56.6865654,-5.936995983,F,juvenile
M2943/92,Long-finned pilot whale,Pelagic Dolphins,25/01/1992,1,1992,59.14161301,-3.080087185,U,unknown
M282/92,Short-beaked common dolphin,Common Dolphin,07/02/1992,2,1992,57.68140793,-4.277445793,F,adult
M1900/92,Harbour porpoise,Harbour porpoise,27/02/1992,2,1992,56.36582565,-6.148480415,M,juvenile
M435/92,Harbour porpoise,Harbour porpoise,28/02/1992,2,1992,56.04719162,-3.555597544,U,unknown
M545/92,Risso's dolphin,Pelagic Dolphins,16/03/1992,3,1992,57.24013138,-5.65095377,U,unknown
M853/92,Harbour porpoise,Harbour porpoise,19/03/1992,3,1992,56.42583466,-5.484859467,U,unknown
M639/92,Short-beaked common dolphin,Common Dolphin,27/03/1992,3,1992,57.12965393,-2.097428322,F,adult
M674/92,Harbour porpoise,Harbour porpoise,01/04/1992,4,1992,57.15571594,-2.077649832,F,adult
M696/92,Striped dolphin,Pelagic Dolphins,03/04/1992,4,1992,57.66471863,-3.609146833,M,adult
M702/92,Minke whale,Baleen Whales,04/04/1992,4,1992,55.95006561,-3.053654432,M,juvenile
M734/92,Harbour porpoise,Harbour porpoise,08/04/1992,4,1992,56.74354935,-2.433217525,U,unknown
M832/92,Risso's dolphin,Pelagic Dolphins,19/04/1992,4,1992,58.59363937,-3.372846842,F,adult
M854/92,Atlantic white-sided dolphin,Pelagic Dolphins,24/04/1992,4,1992,60.38070297,-1.140250087,F,juvenile
M921/92,Long-finned pilot whale,Pelagic Dolphins,27/04/1992,4,1992,57.04787445,-7.450797558,F,adult
M985/92,Long-finned pilot whale,Pelagic Dolphins,11/05/1992,5,1992,56.94298553,-7.563875198,F,adult
M1117/92,Long-finned pilot whale,Pelagic Dolphins,12/05/1992,5,1992,56.20427704,-5.561499596,U,unknown
M1051/92,Bottlenose dolphin,Pelagic Dolphins,17/05/1992,5,1992,57.66220474,-3.664337873,F,adult
M1054/92,Harbour porpoise,Harbour porpoise,17/05/1992,5,1992,57.82389069,-3.860388279,U,unknown
M1111/92,Harbour porpoise,Harbour porpoise,25/05/1992,5,1992,57.66175079,-3.558721542,F,adult
M1115/92,Harbour porpoise,Harbour porpoise,25/05/1992,5,1992,57.74755096,-3.918628693,F,juvenile
M1358/92,Sperm whale,Deep Divers,29/05/1992,5,1992,57.04253006,-7.387264252,M,adult
M1240/92,White-beaked dolphin,Pelagic Dolphins,01/06/1992,6,1992,58.80247116,-3.240889549,U,unknown
M1242/92,Atlantic white-sided dolphin,Pelagic Dolphins,03/06/1992,6,1992,56.53337479,-2.629163265,M,adult
M1244/92,Harbour porpoise,Harbour porpoise,04/06/1992,6,1992,57.66997528,-2.348642826,U,unknown
M1712/92,Harbour porpoise,Harbour porpoise,04/06/1992,6,1992,57.66856766,-3.51541543,F,neonate
M1229/92,Atlantic white-sided dolphin,Pelagic Dolphins,06/06/1992,6,1992,56.33754349,-2.782842636,F,adult
M1243/92,Harbour porpoise,Harbour porpoise,07/06/1992,6,1992,57.7021904,-3.231556892,U,unknown
M1293/92,Harbour porpoise,Harbour porpoise,07/06/1992,6,1992,58.27242279,-6.280631542,U,unknown
M1224/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,57.68175125,-3.99063158,F,juvenile
M1232/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,56.36973953,-2.806174755,F,adult
M1256/92,Harbour porpoise,Harbour porpoise,08/06/1992,6,1992,55.55281448,-4.660151958,F,neonate
M1225/92,Harbour porpoise,Harbour porpoise,09/06/1992,6,1992,55.98010254,-3.29647851,F,neonate
M1246/92,Harbour porpoise,Harbour porpoise,09/06/1992,6,1992,57.76498413,-3.894335508,F,neonate
M1417/92,Bottlenose dolphin,Pelagic Dolphins,12/06/1992,6,1992,58.07094193,-5.453851223,U,unknown
M1348/92,Harbour porpoise,Harbour porpoise,20/06/1992,6,1992,57.69777679,-2.902562618,M,juvenile
M1349/92,Harbour porpoise,Harbour porpoise,21/06/1992,6,1992,57.70138168,-2.900973082,M,neonate
M1362/92,Harbour porpoise,Harbour porpoise,22/06/1992,6,1992,58.96633148,-3.291991472,M,adult
M1388/92,Harbour porpoise,Harbour porpoise,24/06/1992,6,1992,56.78872681,-2.350255489,U,unknown
M1405/92,Harbour porpoise,Harbour porpoise,25/06/1992,6,1992,57.69727707,-2.845503092,F,juvenile
M2940/92,Risso's dolphin,Pelagic Dolphins,26/06/1992,6,1992,58.77964783,-3.278131247,U,unknown
M1431/92,White-beaked dolphin,Pelagic Dolphins,28/06/1992,6,1992,57.18536758,-2.071109772,M,neonate
M1956/92,Risso's dolphin,Pelagic Dolphins,04/07/1992,7,1992,57.6594696,-7.46020031,U,unknown
M1504/92,Harbour porpoise,Harbour porpoise,05/07/1992,7,1992,57.59080124,-3.886945009,F,adult
M1510/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,58.20825958,-6.395572186,M,adult
M1520/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.73544312,-2.438022614,U,unknown
M1521/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.7282486,-2.439570427,U,unknown
M1522/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.71565247,-2.44596076,U,unknown
M1525/92,Harbour porpoise,Harbour porpoise,06/07/1992,7,1992,56.70395279,-2.452366114,U,unknown
M1581/92,Harbour porpoise,Harbour porpoise,08/07/1992,7,1992,56.69321442,-2.439176083,U,unknown
M1559/92,Harbour porpoise,Harbour porpoise,09/07/1992,7,1992,57.71855545,-3.386562824,F,neonate
NA,Harbour porpoise,Harbour porpoise,11/07/1992,7,1992,57.67196655,-2.344979525,U,unknown
M1935/92A,Sperm whale,Deep Divers,20/07/1992,7,1992,57.52713394,-7.624396801,M,unknown
M1935/92B,Sperm whale,Deep Divers,20/07/1992,7,1992,57.52713394,-7.624396801,U,unknown
M2941/92,Minke whale,Baleen Whales,22/07/1992,7,1992,59.23465729,-2.569529057,U,unknown
M1658/92,Harbour porpoise,Harbour porpoise,24/07/1992,7,1992,60.10803223,-1.570067525,M,adult
M1708/92,Harbour porpoise,Harbour porpoise,24/07/1992,7,1992,59.89870834,-1.33148253,M,neonate
M1681/92,Sowerby's beaked whale,Deep Divers,28/07/1992,7,1992,57.48759079,-6.629146576,F,adult
M1738/92,Harbour porpoise,Harbour porpoise,05/08/1992,8,1992,57.59106827,-3.868556023,F,juvenile
M1775/92,Striped dolphin,Pelagic Dolphins,08/08/1992,8,1992,55.77688217,-6.352085114,M,adult
M1813/92,Bottlenose dolphin,Pelagic Dolphins,11/08/1992,8,1992,57.70398331,-3.48333025,F,juvenile
M1814/92,Harbour porpoise,Harbour porpoise,11/08/1992,8,1992,57.5897789,-3.953813076,F,juvenile
M1812/92,Harbour porpoise,Harbour porpoise,11/08/1992,8,1992,57.67494202,-1.968106866,M,juvenile
M2944/92,Minke whale,Baleen Whales,14/08/1992,8,1992,58.11063385,-7.129652023,U,unknown
M1880/92,Sowerby's beaked whale,Deep Divers,19/08/1992,8,1992,57.76045227,-3.897458315,F,adult
M1908/92,Striped dolphin,Pelagic Dolphins,23/08/1992,8,1992,57.5675621,-7.483244896,M,juvenile
M1938/92,Long-finned pilot whale,Pelagic Dolphins,25/08/1992,8,1992,60.16700363,-1.490013123,U,unknown
M1969/92,Striped dolphin,Pelagic Dolphins,28/08/1992,8,1992,55.78475571,-6.458324432,M,juvenile
M2004/92,Striped dolphin,Pelagic Dolphins,29/08/1992,8,1992,57.30400085,-6.355081081,M,juvenile
